College Code,College Name
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur District 631204"
1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur District 602025"
1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi, Thiruvallur District 601206"
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206"
1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077"
1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024"
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203"
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062"
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066"
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi Road, Chennai 600 062"
1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062"
1124,"SAMS College of Engineering and Technology, Panappakkam, Chennai-Tirupathi Road, Uthukkottai Taluk, Thiruvallur District 601102"
1125,"P M R Engineering College, Adayalampattu, Maduravoyal , Vanagaram, Chennai 600095"
1126,"J N N Institute of Engineering, Ushaa Garden, Kannigaipair Village, Uthukottai Taluk, Thiruvallur District 601102"
1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai 600 054"
1128,"R M K College of Engineering and Technology, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206"
1129,"Jaya School of Architecture, Poonamallee Bypass, Poonamallee, Thiruvallur District 600056"
1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS), Marg Swarnabhoomi, Velur Village, Cheyyur Post, Kancheepuram District 603302"
1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105"
1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048"
1134,"Surya School of Architecture, GST Road, Vikravandi Village, Villupuram District 605652"
1135,"Aalim Muhammed Salegh Academy of Architecture, Muthapudupet, Avadi IAF, Chennai 600055"
1137,"Annai Mira College of Engineering and Technology, Arcot Road, Arappakkam Village, Walaja Taulk, Ranipet District 632 517"
1138,"Davinci School of Design and Architecture, Karapakkam, Chennai 600097"
1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604"
1144,"R V S Padmavathy School of Architecture, Senthil Pakkam Village, Roshanagaram Post, Madarapakkam Via, Gummidipoondi Taluk, Thiruvallur District 601202"
1145,"Anand School of Architecture, Old Mahalibalipuram Road (OMR), Kazhipattur, Kancheepuram District 603103"
1146,"Misrimal Navajee Munoth Jain School of Architecture, Rajiv Gandhi Salai (OMR), Thoraipakkam, Chennai 600096"
1147,"MMES ACADEMY OF ARCHITECTURE, VELLORE"
1149,"St. Joseph's Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119"
1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham, Gummidipoondi Taluk, Thiruvallur District 601201"
1152,"CAAD - Chennai Academy of Architecture and Design, No.24, Thumbakkam, ChennaiThirupathi Highway, Near Periyapalayam Amman Temple, Chennai 601102"
1153,"Jawahar School of Architecture Planning and Design, No.54, K K Road, Saligramam, Chennai 600093"
1158,"International Maritime Academy, No.41, Jamin Korattur, Pudhuchatram, Chennai - 600 124"
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103"
1205,"Lord Venkateshwara Engineering College, Walajabad Post, Kancheepuram District 631605"
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105"
1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502"
1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103"
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105"
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105"
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105"
1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103"
1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069"
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602117"
1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056"
1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602105"
1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post, Chennai 600123"
1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502"
1228,"Alpha College of Engineering, Dr. Grace George Nagar, Udayavar Koil Street, Thirumazhisai, Poonamalle, Chennai 602107"
1229,"Indira Institute of Engineering and Technology, VGR Gardens, Pandur, Thiruvallur District 631203"
1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105"
1231,"Panimalar Institute of Technology, Nazarethpet, Poonamallee, Chennai 602103"
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605"
1235,"JEI Mathaajee College of Engineering, Vishaandikuppam,Karappettai (via), Siruvakkam, Kancheepuram District 631 552"
1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204"
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209"
1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206"
1243,"Madha Institute of Engineering and Technology, Erandamkattalai Village, Sadhananthapuram, Thandalam Post, Chennai 602101"
1301,"Mohamed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR), Egattur, Chengalpattu District 603103"
1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103"
1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089"
1306,"Jeppiar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119"
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100"
1308,"Measi Academy of Architecture, Royapettah, Chennai 600014"
1309,"Meenakshi Sundararajan Engineering College, Kodambakkam, Chennai 600024"
1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi Salai (OMR), Thorappakkam, Chennai 600096"
1311,"K C G College of Technology, Karappakkam, Chennai 600096"
1313,"Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology, Old Mahabalipuram Road (OMR), Kelambakkam, Chengalpattu District 603103"
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110"
1316,"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103"
1317,"St. Joseph's College of Engineering, Old Mahabalipuram Road (OMR), Chennai 600 119"
1318,"T.J INSTITUTE OF TECHNOLOGY, KARAPAKKAM CH-97"
1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097"
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri, Chennai 603104"
1324,"Sri Sai Ram Institute of Technology (Autonomous), West Tambaram, Chennai 600044"
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105"
1333,"Vi Institute of Technology, Sirunkundram Village & Post, Chengalpattu District 603108"
1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301"
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069"
1400,"Mohamed Sathak A J Academy of Architecture, Old Mahabalipuram Road (OMR), Kancheepuram District 603103"
1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319"
1402,"Annai Terasa College of Engineering, Thirunavalur, Kallakkurichi District 607204"
1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai 601301"
1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063"
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108"
1409,"Karpagavinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308"
1411,"Madha Engineering College, Kundrathur, Chennai 600069"
1412,"Mailam Engineering College, Mailam, Villupuram District 604304"
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105"
1414,"Prince Shri Venkateshwara Padmavathy Enginering College, Ponmar, Chennai 600048"
1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District 606201"
1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024"
1419,"Sri Sairam Enginering College (Autonomous), West Tambaram, Chennai 600044"
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048"
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107"
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203"
1423,"Asan Memorial College of Engineering and Technology,Chengalpattu-603 001."
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301"
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600048"
1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301"
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201"
1431,"New Prince Shri Bhavani College of Engineering and Technology, Vengaivasal Main Road, Gowriwakkam, Chennai 600073"
1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District 602107"
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District 605652"
1435,"Jagannath Institute of Technology, Thandalam Village, Thiruporur, Kancheepuram District 603110"
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601"
1437,"Rrase College of Engineering, Padappai, Chennai 601301"
1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District 632101"
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202"
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600048"
1444,"Chendu College of Engineering & Technology, Zamin Endathur Village, Madurantakam Taluk, Chengalpattu District 603331"
1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District 604151"
1447,"Jawahar Engineering College, Kaveri Rangan Nagar, Saligramam, Chennai 600093"
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307"
1450,"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034"
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048"
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506"
1503,"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal,Thiruvannamalai District 604410"
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603"
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509"
1507,"Ganadipathy Tulsi's Jain Engineering College, Kaniyambadi, Vellore District 632102"
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078"
1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751"
1511,"Ranippettai Engineering College, Thenkadappanthangal, Ranipet District 632513"
1512,"S K P Engineering College, Thiruvannamalai District 606611"
1513,"Sri Balaji Chockalingam Engineering College, Arni, Thiruvannamalai District 632317"
1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District 631551"
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District 604505"
1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854"
1520,"Kingston Engineering College, Chithoor Main Road, Christianpet Village, Katpadi Taluk, Vellore District 632059"
1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Ranipet District 632506"
1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk, Thiruvannamalai District 606902"
1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur Post, Tirupattur District 635601"
1526,"Sri Krishna College of Engineering, Tiruttani High Road, Arakkonam, Ranipet District 631003"
1529,"Oxford College of Engineering, Venmani Village, Karaipoondi Post, Polur Taluk, Thiruvannamalai District 606803"
1530,"Papni School of Architecture, 302/1, Keeranallur Village, Sriperunbudur Taluk, Kancheepuram District, Chennai 602108"
1532,Madha school of Architecture
1605,"Idhaya Engineering College for Women, Chinnasalem, Kallakkurichi District 606201"
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District 637302"
2314,"Muthayammal College of Engineering, Kakkaveri Post, Namakkal District 637408"
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District 639003"
2328,"K S R Institute for Engineering and Technology, Thokkavadi, Namakkal District 637215"
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021"
2332,"Aishwarya College of Engineering and Technology, Errattaikaradu Paruvachi Post, Anthiyur (Via), Bhavani Taluk, Erode District 638312"
2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110"
2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District 636111"
2342,"Sri Ranganathar Institute of Engineering and Technology, ThudialurKovilpalay Road, Coimbatore District 641110"
2344,"Kongu School of Architecture, Kongu Engineering College Campus, Perundurai Railway Station Road, Thoppupalayam Post, Perundurai, Erode District 638052"
2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309"
2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur Post, Sankari Taluk, Salem District 637301"
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106"
2348,"San Academy of Architecture, ACC Pirivu, Navakarai Post, Mavuthampathy Village, Walayar, Coimbatore District 641105"
2349,"Dhaanish Ahmed Institute of Technology, Pichanur Post, (Near K G Chavadi), Coimbatore District 641105"
2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni Post, Kangayam, Tiruppur District 641 604"
2354,"Pollachi Institute of Engineering and Technology, Main Road, Poosaripatti, Pollachi Taluk, Coimbatore District 642205"
2355,"Cheran College of Engineering, Karur-Coimbatore Main Road, NH-67, K.Paramathi Post, Aravakurichi Taluk, Karur District 639111"
2356,"Arulmurugan College of Engineering, Karvazhi Road, Thennilai Post, Karur District 639206"
2357,"V S B College of Engineering Technical Campus, Ealur Pirivu, Solavampalayam Post, Coimbatore District 642109"
2360,"Suguna College of Engineering, Kalappatti Road, Civil Aerodrome Post, Coimbatore District 641014"
2361,"Sasi Creative School of Archiecture, Pollachi Main Road, Myleripalayam, Coimbatore District 641032"
2364,"School Of Architecture Coimbatore Institute Of Engineering And Technology, Vellimalai Pattinam, Narasipuram Post, ThondamuthurVia,Coimbatore District 641109"
2365,"Nehru School of Architecture, 451-D, Palakkad Main Road, Kuniamuthur, Coimbatore District 641108"
2367,"Arjun College of Technology, Chettiyakkapalayam, Kinathukadavu, Coimbatore District 642120"
2372,"Park Institute of Architecture, Avinashi Road, NH-47, Kaniyur, Coimbatore District 641659"
2373,"Hindusthan School of Architecture, Othakkalmandabam Post, Coimbatore District 641032"
2376,"Rathinam School of Architecture, Rathinam Techzone Campus Pollachi Road, Coimbatore District 641021"
2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062"
2601,"Adhiyamaan College of Engineering (Autonomous), Hosur, Krishnagiri District 635109"
2602,"Annai Mathammal Sheela Enginereing College, Erumapatty Post, Namakkal District 637013"
2606,"Jayam College of Engineering and Technology, Nallanur Post, Dharmapuri District 636813"
2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode, Namakkal District 637215"
2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District 639113"
2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503"
2610,"Muthayammal Engineering College (Autonomous), Rasipuram, Namakkal District 637408"
2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018"
2612,"P G P College of Engineering and Technology, Paramathi Post, Namakkal District 637207"
2613,"K S R College of Engineering (Autonomous), Tiruchengode, Namakkal District 637215"
2614,"S S M College of Engineering, Komarapalayam, Namakkal District 638183"
2617,"Sengunthar Engineering College (Autonomous), Tiruchengode, Namakkal District 637205"
2618,"Sona College of Technology (Autonomous), Suramangalam Post, Salem District 636005"
2620,"Vivekanandha College of Engineering for Women (Autonomous), Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam, Namakkal District 637205"
2621,"Er. Perumal Manimekalai College of Engineering, Near Koneripalli, Hosur, Krishnagiri District 635117"
2622,"V S B Engineering College, Kovai Road, Karur District 639111"
2623,"Mahendra College of Engineering, Attur Road, Minnampalli, Valapady, Salem District 636106"
2624,"Gnanamani College of Technology, Pachal Post, Namakkal District 637018"
2625,"The Kavery Engineering College, M Kalipatti Post, Mecheri, Salem District 634456"
2627,"Selvam College of Technology, Pappanaickenpatti Post, Namakkal District 637003"
2628,"Paavai College of Engineering, NH-7, Pachal Post, Namakkal District 637018"
2629,"Sengunthar College of Engineering, Tiruchengode, Namakkal District 637205"
2630,"Chettinad College of Engineering and Technology, NH-67, Trichy Main Road, Puliyur C F, Karur District 639114"
2632,"Mahendra Institute of Technology (Autonomous), Mahendhirapuri, Mallasamudram, Namakkal District 637503"
2633,"Vidhya Vikkas College of Engineering and Technology, Varahoorampatti, Tiruchengode, Namakkal District 637 214"
2634,"Excel Engineering College (Autonomous), Pallakkapalayam, Sankari West Post, Namakkal District 637303"
2635,"C M S College of Engineering, Emapuram Post, Namakkal District 637003"
2636,"A V S Engineering College, Military Road, Ammapet, Salem District 636003"
2638,"Mahendra Engineering College for Women, Kumaramangalam, Namakkal District 637205"
2639,"Narasus Sarathy Institute of Technology, Poosaripatty Village, Omalur Taluk, Salem District 636305"
2640,"Jayalakshmi Institute of Technology, Thoppur, Dharmapuri District 635352"
2641,"Varuvan Vadivelan Institute of Technology, Nallanahalli, Dharmapuri District 636701"
2642,"P S V College of Engineeering and Technology, Mittapalli, Balinayanapalli Post, Elathagiri, Krishnagiri District 635108"
2643,"Bharathiyar Institute of Engineering for Women, Deviayakurichi, Attur Taluk, Salem District 636112"
2646,"Tagore Institute of Engineering and Technology, Deviyakurichi, Attur Taluk, Salem District 636112"
2647,"J K K Nataraja College of Engineering and Technology, Komarapalayam Amani, Thattankuttai Panchayat, Namakkal District 638183"
2648,"Annapoorana Engineering College, Sankari Main Road, NH-47, Periaseeragapadi, Salem District 636308"
2650,"Christ the King Engineering College, Cecilia Gardens, Chikkarampalayam Village, Coimbatore District 641104"
2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660"
2652,"Al-Ameen Engineering College (Autonomous), Karundevan Palayam, Nanjai Uthukuli Post, Erode District 638104"
2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504"
2656,"Builders engineering college, Nathakadaiyur, Erode Road, Palayakottai Village, Kangeyam, Tiruppur District 638108"
2657,"Paavai College of Technology, NH-7, Pachal Post, Namakkal District 637018"
2658,"V S A Group of Institutions, NH-47, Uthamasola Puram Post, Salem District 636010"
2659,"Salem College of Engineering and Technology, Salem-Attur Main Road, NH-68, Mettupatty Perumapalayam, Salem District 636111"
2661,"Vivekanandha College of Technology for Women, Sathinaickenpalayam, Elayampalayam Village, Kumaramangalam, Namakkal District 637205"
2662,"Dr. Nagarathinams College of Engineering, Anadhagoundam Palayam, Minakkal Post, Rasipuram, Namakkal District 637505"
2665,"Mahendra Institute of Engineering and Technology, Mahendrapuri, Mallasamudram, Namakkal District 637503"
2667,Excel College Of Architecture And Planning
2673,"Sree Sakthi Engineering College, Bettathapuram, Bilichi Village, Karamadai, Coimbatore District 641104"
2683,"Shreenivasa Engineering College, B Pallipatti, Bommidi, Pappireddipatti Taluk, Dharmapuri District 635301"
2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401"
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post, Coimbatore District 641109"
2705,"C S I College of Engineering, Ketti, The Nilgiris 643215"
2706,"Dr. Mahalingam College of Engineering and Technology (Autonomous), Mackinaickenpatti Post, Pollachi Taluk, Coimbatore District 642003"
2707,"Erode Sengunthar Engineering College (Autonomous), Thudupathi Post, Erode District 638057"
2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032"
2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032"
2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052"
2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006"
2713,"M P Nachimuthu M Jagannathan Engineering College, Chennimalai, Erode District 638112"
2715,"Nandha Engineering College (Autonomous), Pitchandampalayam Post, Erode District 638052"
2716,"Park College of Engineering and Technology, Kaniyur, Coimbatore District 641659"
2717,"Sasurie College of Engineering, Vijayamangalam, Tiruppur District 638056"
2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District 641008"
2719,"Sri Ramakrishna Engineering College (Autonomous), Vattamalaipalayam, Coimbatore District 641022"
2721,"Tamilnadu College of Engineering, Karumathampatti Post, Coimbatore District 641659"
2722,"Sri Krishna College of Technology (Autonomous) , Kovaipudur Post, Coimbatore District 641042"
2723,"Velalar College of Engineering and Technology (Autonomous), Thindal Post, Erode District 638009"
2725,"Sri Ramakrishna Institute of Technology (Autonomous), Pachapalayam, Coimbatore District 641010"
2726,"S N S College of Technology (Autonomous), Kalappatti Post, Coimbatore District 641035"
2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Comibatore District 641062"
2728,"Tamilnadu School of Architecture, Karumathampatti Post, Coimbatore District 641659"
2729,"Nehru Institute of Engineering and Technology, Thirumalayampalayam Post, Coimbatore District 641105"
2731,"R V S College of Engineering and Technology, Kannampalayam, Sulur, Coimbatore District 641402"
2732,"INFO Institute of Engineering, Sarkar Samakulam, Coimbatore District 641107"
2733,"Angel College of Engineering and Technology, P.K.Palayam, Ugayanur Village, Tirupur District 641 665"
2734,"S N S College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore District 641107"
2735,"Karpagam Institute of Technology, Seerapalayam Village, L&T By pass Road, Coimbatore District 641021"
2736,"Dr. N G P Institute of Technology, Kalapatti Road, Coimbatore District 641035"
2737,"Sri Sai Ranganathan Engineering College, Zahirnaickenpalayam Village, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109"
2739,"Sri Eshwar College of Engineering (Autonomous), Kondampatti Post, Vadasithur (Via), Kinathukadavu, Coimbatore District 641202"
2740,"Hindustan Institute of Technology (Autonomous), Othakkalmandapam, Coimbatore District 641032"
2741,"P A College of Engineering and Technology (Autonomous), Palladam Road, Pollachi, Coimbatore District 642002"
2743,"Dhanalakshmi Srinivasan College of Engineering, NH47, Palakkad Main Road, Navakkarai Post, Near Nandhi Temple, Coimbatore District 641105"
2744,"Adithya Institute of Technology, Kurumbapalayam Village, Coimbatore District 641107"
2745,"Kathir College of Engineering, Neelambur, Avinashi Road, Coimbatore District 641062"
